0521	003	   23217,33€
0521	004	   12123,54€
0521	005	   10212,98€
0521	006	    6296,19€
0521	007	    6051,62€
0521	008	    6586,12€
0521	011	   13279,61€
0521	013	   18296,47€
0521	014	   11714,12€
0521	018	    6432,11€
0521	020	    7421,66€
0521	022	    5341,60€
0521	024	    8391,94€
0521	025	    2475,21€
0521	026	    2136,91€
0521	027	    1259,12€
0521	028	    2759,85€
0521	029	    2288,55€
0521	030	    1397,06€
0521	031	     359,61€
0521	033	     306,51€
0521	034	     876,05€
0521	035	     846,20€
0521	036	    1338,73€
0521	037	    1000,65€
----------------------------
UKUPNO		  152409,74€
